id,date,category,scope,claim,status,confidence,evidence,counterevidence,next_test
C001,2026-08-13,上路层级,LCK v16.15,奥拉夫是当前 LCK 上路 T0 候选,provisional,medium,近期13局8-5且GEN G1展示逆风持续作战价值,缺完整窗口BP顺位且队伍强度混杂,补齐pick-ban和红蓝对位后验证blind安全性
C002,2026-08-13,上路层级,LPL v16.14,奥拉夫是当前 LPL 上路 T0 候选,provisional,medium,近期20局13-7且当日2-0,缺完整窗口BP presence,校正队伍强度和BP顺位
C003,2026-08-13,版本陷阱,LCK和LPL,鳄鱼是条件性版本陷阱而非赛区必坑英雄,supported,medium,需要15至20分钟兑现上野资源且不能独自承担后期前排,LPL近期11局6-5不支持英雄无条件很坑,按先锋塔皮兑现与第二轮输出有无分层
C004,2026-08-13,赛区差异,LCK对比LPL,LPL上单使用兰博和鳄鱼明显不如LCK,falsified,high,历史裸样本方向相反足以否定强断言,裸胜率仍未校正patch选手和职责,若重开须限定patch选手对手强度和BP职责
C005,2026-08-13,下路对局,LPL v16.14,烬面对寒冰式持续压线和追打时应降级,provisional,medium,机制上烬偏短交换与定点而寒冰同时提供线权追打先手且当日寒冰3-0烬1-2,当日并非全部直接对位且样本小,构建实际对位样本并控制辅助组合
C006,2026-08-13,阵容交付,LCK和LPL,第一接触与第二轮输出保护同时存在能提高阵容逆风可玩性,provisional,medium,GEN G1与WBG G2为机制正例,NIP G2等案例混有队伍实力和操作差,预注册交付链特征并做时间切分消融
C007,2026-08-13,翻盘阵容,LCK v16.15,奥拉夫盲僧瑞兹女警巴德具有可反复接触和持续输出的翻盘路径,provisional,low,GEN G1在-962@15后取胜,单局且GEN执行优势明显,查跨队伍同机制正反例
C008,2026-08-13,翻盘阵容,LPL v16.14,约里克梦魇配保护型中期AD可利用边线和关灯翻转固定双核,provisional,low,WBG G2在-703@15后取胜,劣势不大且对位高度特定,比较面对固定双核与高机动阵容的条件结果
C009,2026-08-13,阵容层级,LCK和LPL,完整反开保排对冲阵是当前Counter T0但不是无条件T0,provisional,medium,更新窗口中对强开冲阵合计9-4且机制能保核心进入第二轮,无明确冲阵对象时主原型裸战绩不足以支持无条件T0,扩样本并固定反开完整度阈值做时间切分
C010,2026-08-13,阵容层级,LCK和LPL,多点强开只有在进场存活与第二轮输出同时成立时才是 T0,supported,medium,GEN G2与BLG G2为完整正例且强开对抓单接力合计6-1,TES G2等单轮冲阵是反例说明强开数量本身不够,预注册可达启动点进场存活和第二轮特征
C011,2026-08-13,阵容层级,LCK和LPL,边线牵制加跨图接应是 Counter T0.5而非盲选T0,provisional,medium,对固定双核与标准五人阵容有多条拆解案例且WBG G2从-703@15取胜,边线点若打不出压力或正面四人无清线则结构坍塌,按对手边线处理能力分层验证
C012,2026-08-13,辅助层级,LCK v16.15,慎是LCK辅助T0且是逆风锚点,provisional,medium,22局15-7并以低经济跨图保护和嘲讽维持第二轮,LPL同英雄28局仅15-13说明执行适配不能忽略,控制队伍强度并比较对冲阵和非冲阵对局
C013,2026-08-13,辅助层级,LPL v16.14,慎是Counter T0.5而非万能盲选T0,provisional,medium,28局15-13且低经济保护与改图职责稳定,总体胜率一般且需要对手先展示冲阵抓单或己方有持续核心,按选取顺位和对手原型分层
C014,2026-08-13,位置层级,LCK和LPL,波比是跨打野辅助的Counter T0与逆风锚点,provisional,medium,LCK BP50/59且LPL BP91/108主要由ban构成证明反突进威慑,实际pick样本极少不能证明blind T0,分位置收集放出后的后手对局和失败反例
